nu/v	E_r/v	N_theta	N_zeta	N_xi	D11	D31	D13	D33	D33 Spitzer	t_clock	Delta D11 zeta	Delta D31 zeta	Delta D13 zeta	Delta D33 zeta	Delta D11 theta	Delta D31 theta	Delta D13 theta	Delta D33 theta
1.00000000000000E-05	0.00000000000000E+00	1.90000000000000E+01	2.23000000000000E+02	1.80000000000000E+02	5.01126167879546E-02	8.72766827707662E-02	-8.73018057332320E-02	-1.78446411547309E+04	-6.14841280454488E+04	8.93381300000000E+02	-2.86015863770750E-11	3.95379656514816E-08	-9.45653291783977E-10	1.59610848641023E-04	-1.64766438511474E-05	1.39677024195017E-03	-1.41171744665873E-03	1.86095791821572E-01
1.00000000000000E-05	0.00000000000000E+00	1.90000000000000E+01	2.27000000000000E+02	1.80000000000000E+02	5.01126167593530E-02	8.72767223087318E-02	-8.73018066788853E-02	-1.78446409951201E+04	-6.14841280454488E+04	9.47993100000000E+02	4.13305500934769E-12	-2.39302857946155E-08	-4.27923613210979E-10	-8.83217871887609E-05	-1.64765365795530E-05	1.39671304468918E-03	-1.41171849099368E-03	1.86065845929988E-01
1.00000000000000E-05	0.00000000000000E+00	1.90000000000000E+01	2.31000000000000E+02	1.80000000000000E+02	5.01126167634861E-02	8.72766983784460E-02	-8.73018071068089E-02	-1.78446410834418E+04	-6.14841280454486E+04	9.99355900000000E+02	-1.59740880245618E-10	7.45978716298890E-09	-1.24408923440900E-09	5.98832775722258E-06	-1.64765444666606E-05	1.39670806570169E-03	-1.41171742327474E-03	1.86129712827096E-01
1.00000000000000E-05	0.00000000000000E+00	1.90000000000000E+01	2.35000000000000E+02	1.80000000000000E+02	5.01126166037452E-02	8.72767058382332E-02	-8.73018083508981E-02	-1.78446410774535E+04	-6.14841280454488E+04	1.01671720000000E+03	3.02858564615871E-10	-1.29308628943337E-08	-9.39398128729785E-10	-2.35240986512508E-05	-1.64765524915192E-05	1.39671431630389E-03	-1.41171608437787E-03	1.85975516800681E-01
1.00000000000000E-05	0.00000000000000E+00	1.90000000000000E+01	2.39000000000000E+02	1.80000000000000E+02	5.01126169066037E-02	8.72766929073703E-02	-8.73018092902962E-02	-1.78446411009776E+04	-6.14841280454487E+04	1.07511310000000E+03	-2.57675825121595E-10	2.43430642449249E-08	3.54220722198484E-09	-5.26975600223523E-05	-1.64767573376245E-05	1.39675515157503E-03	-1.41171685282333E-03	1.86090356019122E-01
1.00000000000000E-05	0.00000000000000E+00	1.90000000000000E+01	2.43000000000000E+02	1.80000000000000E+02	5.01126166489279E-02	8.72767172504345E-02	-8.73018057480890E-02	-1.78446411536752E+04	-6.14841280454486E+04	1.14489500000000E+03	-2.57675825121595E-10	2.43430642449249E-08	3.54220722198484E-09	-5.26975600223523E-05	-1.64765532823796E-05	1.39671466365751E-03	-1.41172036545298E-03	1.86179183689092E-01
																		
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.50000000000000E+01	1.80000000000000E+02	4.79358313183514E-02	-1.67957760334443E+00	3.30205910383296E+00	-1.37398922100657E+04	-6.14840969196736E+04	8.81200000000000E-01	2.15551442211856E-03	1.34617140596467E+00	-2.98674858494294E+00	-2.07433667149333E+03	5.29792218150610E-05	7.84184481694039E-04	-1.10834860525260E-02	4.57390816412044E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.90000000000000E+01	1.80000000000000E+02	5.00913457404699E-02	-3.33406197379766E-01	3.15310518890015E-01	-1.58142288815591E+04	-6.14841283662561E+04	1.55390000000000E+00	2.94416907926649E-04	3.89313724459593E-01	-4.14443798039475E-01	-8.46279508467653E+02	-3.97296698515653E-06	-3.03209148697026E-03	3.75670919793991E-03	-7.19817605790013E-01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	2.30000000000000E+01	1.80000000000000E+02	5.03857626483966E-02	5.59075270798269E-02	-9.91332791494593E-02	-1.66605083900267E+04	-6.14841280358779E+04	2.51030000000000E+00	1.93083002692634E-06	1.16349254043656E-01	-9.98519583442460E-02	-4.72752881621320E+02	-3.46668933906558E-07	-5.84266725283684E-03	6.70040738351084E-03	-4.37062587646869E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	2.70000000000000E+01	1.80000000000000E+02	5.03876934784235E-02	1.72256781123483E-01	-1.98985237493705E-01	-1.71332612716480E+04	-6.14841280459904E+04	3.87650000000000E+00	-2.16574494559751E-04	-9.30336341374696E-02	1.15976479209946E-01	-3.16119131574007E+02	-2.60470932114468E-05	1.80530217730734E-02	-2.05281137496622E-02	-3.87968668080175E+01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	3.10000000000000E+01	1.80000000000000E+02	5.01711189838638E-02	7.92231469860132E-02	-8.30087582837593E-02	-1.74493804032220E+04	-6.14841280454531E+04	5.72070000000000E+00	-3.45503711935133E-04	-1.45704070706073E-01	1.56854323876289E-01	-1.30026599683530E+02	1.04308930129790E-04	3.80090049696190E-02	-4.15603935006661E-02	-2.86266993896061E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	3.50000000000000E+01	1.80000000000000E+02	4.98256152719286E-02	-6.64809237200600E-02	7.38455655925299E-02	-1.75794070029056E+04	-6.14841280454491E+04	8.26760000000000E+00	-1.66905255650357E-04	-1.09100612899899E-02	9.28106517218120E-03	-1.41491754382841E+02	1.77815369716748E-04	5.05451764887712E-02	-5.34695157723275E-02	1.33694556649789E+01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	3.90000000000000E+01	1.80000000000000E+02	4.96587100162783E-02	-7.73909850100499E-02	8.31266307647111E-02	-1.77208987572884E+04	-6.14841280454488E+04	1.09792000000000E+01	1.64425620514247E-05	6.49703157542589E-02	-6.98316324185819E-02	-5.51276120888797E+01	8.80265902102467E-05	3.71166217075686E-03	-3.47226057302112E-03	4.82850299452512E+01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	4.30000000000000E+01	1.80000000000000E+02	4.96751525783297E-02	-1.24206692557910E-02	1.32949983461292E-02	-1.77760263693773E+04	-6.14841280454488E+04	1.43991000000000E+01	-3.53270119719806E-06	6.35125238394995E-02	-6.57759041626670E-02	-1.76863589076311E+01	-1.68500654703502E-06	-2.85805720511704E-02	2.96896708531312E-02	-1.09730660862297E+01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	4.70000000000000E+01	1.80000000000000E+02	4.96716198771325E-02	5.10918545837085E-02	-5.24809058165378E-02	-1.77937127282849E+04	-6.14841280454488E+04	1.83591000000000E+01	-1.05302858601927E-04	1.50168336425868E-02	-1.46750281964363E-02	-2.98594619657888E+01	-3.56322782593677E-06	-9.26050956894575E-03	8.32000989030292E-03	-7.55100098415605E+01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	5.10000000000000E+01	1.80000000000000E+02	4.95663170185306E-02	6.61086882262953E-02	-6.71559340129741E-02	-1.78235721902507E+04	-6.14841280454488E+04	2.35077000000000E+01	-3.09374456155947E-05	1.05224887848349E-03	-8.41682407681843E-04	-3.83940886555210E+01	6.69800720647998E-05	6.95643144647823E-03	-7.61968728177676E-03	-7.11356363532323E+01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	5.50000000000000E+01	1.80000000000000E+02	4.95353795729150E-02	6.71609371047788E-02	-6.79976164206560E-02	-1.78619662789062E+04	-6.14841280454489E+04	2.86806000000000E+01	-2.77572309635293E-05	-3.52688113422311E-03	3.63459054611341E-03	-3.13976995755693E+01	3.26184709783309E-05	2.31708026223139E-03	-2.43646760126484E-03	-3.52413914731405E+01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	5.90000000000000E+01	1.80000000000000E+02	4.95076223419514E-02	6.36340559705557E-02	-6.43630258745426E-02	-1.78933639784818E+04	-6.14841280454488E+04	3.50996000000000E+01	-3.93607848281352E-05	6.81564589181495E-03	-7.17722165094635E-03	-2.29007046887091E+01	-1.72411024782146E-05	7.74753491147447E-03	-8.20456362022590E-03	-1.73339892479889E+01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	6.30000000000000E+01	1.80000000000000E+02	4.94682615571233E-02	7.04497018623707E-02	-7.15402475254889E-02	-1.79162646831705E+04	-6.14841280454488E+04	4.25770000000000E+01	-1.63167375584194E-05	1.08571824418829E-02	-1.10036579532216E-02	-9.59970594359038E+00	1.86912790609006E-06	-2.66345101093823E-03	2.82255101603529E-03	-1.30264881687108E+01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	6.70000000000000E+01	1.80000000000000E+02	4.94519448195649E-02	8.13068843042535E-02	-8.25439054787105E-02	-1.79258643891141E+04	-6.14841280454488E+04	5.12993000000000E+01	-1.37268057292389E-06	5.80017142845068E-03	-5.43853503898085E-03	-1.49976905195217E+00	3.21414376718704E-05	-1.20001752503847E-02	1.27816963116262E-02	-1.64443566079899E+01
