                    nu/v	                  E_r/v	               N_theta	                 N_zeta	                   N_xi	                   D_11	                   D_31	                   D_13	                   D_33	           D_33_Spitzer	            t_clock [s]	Delta D11	Delta D31	Delta D13	Delta D33
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.2300000000E+02	1.8000000000E+02	1.3859276621E-02	2.7432049248E-01	-2.7447973156E-01	-3.1364259558E+04	-6.5481537729E+04	8.5159600000E+01	9.8536425790E-07	-3.3264750430E-05	3.3044999059E-05	2.1608015340E-02
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.2700000000E+02	1.8000000000E+02	1.3860261985E-02	2.7428722773E-01	-2.7444668656E-01	-3.1364237950E+04	-6.5481537729E+04	9.3769700000E+01	1.6178757775E-07	-2.0810812102E-05	2.0415214176E-05	1.6774977768E-02
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.3100000000E+02	1.8000000000E+02	1.3860423773E-02	2.7426641692E-01	-2.7442627135E-01	-3.1364221175E+04	-6.5481537729E+04	1.0506440000E+02	3.0073692600E-08	1.4958403742E-06	-1.2981953057E-06	1.1603968171E-02
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.3500000000E+02	1.8000000000E+02	1.3860453847E-02	2.7426791276E-01	-2.7442756955E-01	-3.1364209571E+04	-6.5481537729E+04	1.1063840000E+02	1.6081555187E-07	5.2296005973E-06	-4.9560160463E-06	8.1614267401E-03
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.3900000000E+02	1.8000000000E+02	1.3860614662E-02	2.7427314236E-01	-2.7443252556E-01	-3.1364201410E+04	-6.5481537729E+04	1.1890590000E+02	1.9960683448E-07	1.0976984642E-06	-1.2092425820E-06	5.4005896782E-03
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.4300000000E+02	1.8000000000E+02	1.3860814269E-02	2.7427424006E-01	-2.7443373480E-01	-3.1364196009E+04	-6.5481537729E+04	1.2878180000E+02	1.1047201966E-07	-1.7528521067E-06	1.5928232382E-06	3.4596252117E-03
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.4700000000E+02	1.8000000000E+02	1.3860924741E-02	2.7427248721E-01	-2.7443214198E-01	-3.1364192550E+04	-6.5481537729E+04	1.3975350000E+02	4.3074977149E-08	-1.6519815043E-06	1.6831812712E-06	2.3634966601E-03
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.5100000000E+02	1.8000000000E+02	1.3860967816E-02	2.7427083522E-01	-2.7443045880E-01	-3.1364190186E+04	-6.5481537729E+04	1.5076380000E+02	1.5557693351E-08	-4.3015599760E-07	5.0734133106E-07	1.5862727887E-03
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.5500000000E+02	1.8000000000E+02	1.3860983374E-02	2.7427040507E-01	-2.7442995146E-01	-3.1364188600E+04	-6.5481537729E+04	1.6721150000E+02	1.2263439469E-08	2.0394823885E-07	-2.0010856538E-07	1.0002055897E-03
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.5900000000E+02	1.8000000000E+02	1.3860995637E-02	2.7427060902E-01	-2.7443015157E-01	-3.1364187600E+04	-6.5481537729E+04	1.7908870000E+02	7.9594272596E-09	9.4481925506E-08	-1.2212103079E-07	5.7855524938E-04
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.6300000000E+02	1.8000000000E+02	1.3861003596E-02	2.7427070350E-01	-2.7443027369E-01	-3.1364187021E+04	-6.5481537729E+04	1.8929680000E+02	4.3782293711E-09	-1.4069730225E-07	1.3568582630E-07	3.2476041088E-04
