              nu/v [m^-1]         E_r/v [V s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.1402570233592212E-01   0.2323264255406406E+00  -0.2323241069819888E+00   0.3785710584374308E+05   0.6628559315944494E+05   0.4789900000000000E+02   0.3806598470000004E+03
   0.3000000000000000E-04   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.1565900181595802E-01   0.2815780024594017E+00  -0.2815778214610630E+00   0.1293149689374717E+05   0.2209519771981495E+05   0.4798100000000000E+02   0.3813783450000001E+03
   0.1000000000000000E-03   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.8740654260361502E-02   0.2160745634025730E+00  -0.2160745055141436E+00   0.4021258445511559E+04   0.6628559315944491E+04   0.4826900000000000E+02   0.3835911040000001E+03
   0.3000000000000000E-03   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.4213368850335851E-02   0.8719425736391380E-01  -0.8719425732328324E-01   0.1408651897686114E+04   0.2209519771981496E+04   0.4721800000000000E+02   0.3753048480000007E+03
   0.1000000000000000E-02   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.2453832705721773E-02  -0.5485989131217296E-02   0.5485989131122809E-02   0.4600313629540570E+03   0.6628559315944489E+03   0.4849100000000000E+02   0.3854755809999997E+03
   0.3000000000000000E-02   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.2468429325074598E-02  -0.3906998272526247E-01   0.3906998272526493E-01   0.1702800598747718E+03   0.2209519771981497E+03   0.4729700000000000E+02   0.3759731859999993E+03
   0.1000000000000000E-01   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.3422353308866648E-02  -0.3973437303749285E-01   0.3973437303749281E-01   0.5800901435861601E+02   0.6628559315944484E+02   0.4807300000000000E+02   0.3818578609999995E+03
   0.3000000000000000E-01   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.4774345185390190E-02  -0.2128717138540465E-01   0.2128717138540532E-01   0.2099413606050906E+02   0.2209519771981496E+02   0.4860600000000000E+02   0.3862535449999996E+03
   0.1000000000000000E+00   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.8224404037994296E-02  -0.6330929801694379E-02   0.6330929801695508E-02   0.6540010749632695E+01   0.6628559315944492E+01   0.4784500000000000E+02   0.3801212939999996E+03
   0.3000000000000000E+00   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.1907608553611227E-01  -0.1082647416272960E-02   0.1082647416274205E-02   0.2204176341645450E+01   0.2209519771981493E+01   0.4858700000000000E+02   0.3859300990000002E+03
