                        s                     iota                   psi(s)                  psi'(s)             B_theta_s(s)              B_zeta_s(s)
   0.3214285714285711E+00   0.8759095248088300E+00  -0.6123214285714280E+00   0.3031901665900610E+00  -0.2721347452938616E-16  -0.1408758027798810E+02
   0.3285714285714283E+00   0.8767591826363190E+00  -0.6259285714285709E+00   0.3031901665900610E+00  -0.3127923267620680E-16  -0.1408758027792820E+02
   0.3357142857142856E+00   0.8776079631134260E+00  -0.6395357142857140E+00   0.3031901665900610E+00  -0.1490777987167569E-16  -0.1408758027787920E+02
   0.3428571428571422E+00   0.8784557699322800E+00  -0.6531428571428560E+00   0.3031901665900610E+00  -0.5036119091195168E-16  -0.1408758027785540E+02
   0.3499999999999994E+00   0.8793026566785640E+00  -0.6667499999999990E+00   0.3031901665900610E+00  -0.1106428317021457E-15  -0.1408758027783770E+02
   0.3571428571428567E+00   0.8801486058407429E+00  -0.6803571428571420E+00   0.3031901665900610E+00  -0.4575333167888829E-16  -0.1408758027782920E+02
   0.3642857142857139E+00   0.8809937228863240E+00  -0.6939642857142850E+00   0.3031901665900610E+00   0.3675445364725860E-16  -0.1408758027779760E+02
   0.3714285714285711E+00   0.8818380736087190E+00  -0.7075714285714280E+00   0.3031901665900610E+00   0.2656295322589486E-17  -0.1408758027785140E+02
   0.3785714285714283E+00   0.8826818460869760E+00  -0.7211785714285710E+00   0.3031901665900610E+00  -0.4672911363412524E-16  -0.1408758027784920E+02
   0.3857142857142851E+00   0.8835251419283570E+00  -0.7347857142857130E+00   0.3031901665900610E+00  -0.3388131789017201E-16  -0.1408758027784360E+02
   0.3928571428571422E+00   0.8843681546287540E+00  -0.7483928571428560E+00   0.3031901665900610E+00  -0.8023096076392733E-16  -0.1408758027786370E+02
   0.3999999999999995E+00   0.8852110126113431E+00  -0.7619999999999990E+00   0.3031901665900610E+00  -0.9367506770274758E-16  -0.1408758027787710E+02
   0.4071428571428567E+00   0.8860539385646300E+00  -0.7756071428571421E+00   0.3031901665900610E+00  -0.2125036258071589E-16  -0.1408758027786810E+02
   0.4142857142857139E+00   0.8868970843293790E+00  -0.7892142857142850E+00   0.3031901665900610E+00   0.7892991815694472E-16  -0.1408758027790050E+02
   0.4214285714285712E+00   0.8877406735079920E+00  -0.8028214285714280E+00   0.3031901665900610E+00   0.2439454888092385E-16  -0.1408758027794040E+02
   0.4285714285714278E+00   0.8885848613956460E+00  -0.8164285714285699E+00   0.3031901665900610E+00   0.3480288973678469E-16  -0.1408758027794160E+02
   0.4357142857142851E+00   0.8894298682363750E+00  -0.8300357142857130E+00   0.3031901665900610E+00  -0.5280064580004407E-16  -0.1408758027792470E+02
   0.4428571428571423E+00   0.8902758513300461E+00  -0.8436428571428560E+00   0.3031901665900610E+00  -0.1279358563532895E-16  -0.1408758027795070E+02
   0.4499999999999995E+00   0.8911230267507000E+00  -0.8572499999999990E+00   0.3031901665900610E+00  -0.4358492733391728E-16  -0.1408758027798540E+02
   0.4571428571428567E+00   0.8919715456544020E+00  -0.8708571428571420E+00   0.3031901665900610E+00   0.4228388472693467E-16  -0.1408758027798760E+02
   0.4642857142857134E+00   0.8928216138456220E+00  -0.8844642857142840E+00   0.3031901665900610E+00  -0.8500145032286355E-16  -0.1408758027796720E+02
   0.4714285714285706E+00   0.8936733832632350E+00  -0.8980714285714270E+00   0.3031901665900610E+00  -0.7697835424647081E-17  -0.1408758027803690E+02
   0.4785714285714278E+00   0.8945270465983060E+00  -0.9116785714285700E+00   0.3031901665900610E+00  -0.1864827736675068E-16  -0.1408758027802140E+02
   0.4857142857142850E+00   0.8953827712437470E+00  -0.9252857142857130E+00   0.3031901665900610E+00  -0.1485356976305141E-16  -0.1408758027803560E+02
   0.4928571428571422E+00   0.8962407577922130E+00  -0.9388928571428560E+00   0.3031901665900610E+00  -0.1029992063861229E-16  -0.1408758027805810E+02
